# Catalogo de problemas no estilo LeetCode.
# Formato: D|Titulo  (D = E/M/H = Easy/Medium/Hard)
# Linhas em branco e linhas iniciadas por '#' sao ignoradas pelo DataSeeder.
E|Two Sum
M|Add Two Numbers
M|Longest Substring Without Repeating Characters
H|Median of Two Sorted Arrays
M|Longest Palindromic Substring
M|Zigzag Conversion
M|Reverse Integer
M|String to Integer (atoi)
E|Palindrome Number
H|Regular Expression Matching
M|Container With Most Water
M|Integer to Roman
E|Roman to Integer
E|Longest Common Prefix
M|3Sum
M|3Sum Closest
M|Letter Combinations of a Phone Number
M|4Sum
M|Remove Nth Node From End of List
E|Valid Parentheses
E|Merge Two Sorted Lists
M|Generate Parentheses
H|Merge k Sorted Lists
M|Swap Nodes in Pairs
H|Reverse Nodes in k-Group
E|Remove Duplicates from Sorted Array
E|Remove Element
E|Find the Index of the First Occurrence in a String
M|Divide Two Integers
H|Substring with Concatenation of All Words
M|Next Permutation
H|Longest Valid Parentheses
M|Search in Rotated Sorted Array
M|Find First and Last Position of Element in Sorted Array
E|Search Insert Position
M|Valid Sudoku
H|Sudoku Solver
M|Count and Say
M|Combination Sum
M|Combination Sum II
H|First Missing Positive
H|Trapping Rain Water
M|Multiply Strings
H|Wildcard Matching
M|Jump Game II
M|Permutations
M|Permutations II
M|Rotate Image
M|Group Anagrams
M|Pow(x, n)
H|N-Queens
H|N-Queens II
M|Maximum Subarray
M|Spiral Matrix
M|Jump Game
M|Merge Intervals
M|Insert Interval
E|Length of Last Word
M|Spiral Matrix II
H|Permutation Sequence
M|Rotate List
M|Unique Paths
M|Unique Paths II
M|Minimum Path Sum
H|Valid Number
E|Plus One
E|Add Binary
H|Text Justification
E|Sqrt(x)
E|Climbing Stairs
M|Simplify Path
M|Edit Distance
M|Set Matrix Zeroes
M|Search a 2D Matrix
M|Sort Colors
H|Minimum Window Substring
M|Combinations
M|Subsets
M|Word Search
M|Remove Duplicates from Sorted Array II
M|Search in Rotated Sorted Array II
M|Remove Duplicates from Sorted List II
E|Remove Duplicates from Sorted List
H|Largest Rectangle in Histogram
H|Maximal Rectangle
M|Partition List
H|Scramble String
E|Merge Sorted Array
M|Gray Code
M|Subsets II
M|Decode Ways
M|Reverse Linked List II
M|Restore IP Addresses
E|Binary Tree Inorder Traversal
M|Unique Binary Search Trees II
M|Unique Binary Search Trees
M|Interleaving String
M|Validate Binary Search Tree
M|Recover Binary Search Tree
E|Same Tree
E|Symmetric Tree
M|Binary Tree Level Order Traversal
M|Binary Tree Zigzag Level Order Traversal
E|Maximum Depth of Binary Tree
M|Construct Binary Tree from Preorder and Inorder Traversal
M|Construct Binary Tree from Inorder and Postorder Traversal
M|Binary Tree Level Order Traversal II
E|Convert Sorted Array to Binary Search Tree
M|Convert Sorted List to Binary Search Tree
E|Balanced Binary Tree
E|Minimum Depth of Binary Tree
E|Path Sum
M|Path Sum II
M|Flatten Binary Tree to Linked List
H|Distinct Subsequences
M|Populating Next Right Pointers in Each Node
M|Populating Next Right Pointers in Each Node II
E|Pascal's Triangle
E|Pascal's Triangle II
M|Triangle
E|Best Time to Buy and Sell Stock
M|Best Time to Buy and Sell Stock II
H|Best Time to Buy and Sell Stock III
H|Binary Tree Maximum Path Sum
E|Valid Palindrome
H|Word Ladder II
H|Word Ladder
M|Longest Consecutive Sequence
M|Sum Root to Leaf Numbers
M|Surrounded Regions
M|Palindrome Partitioning
H|Palindrome Partitioning II
M|Clone Graph
M|Gas Station
H|Candy
E|Single Number
M|Single Number II
M|Copy List with Random Pointer
M|Word Break
H|Word Break II
E|Linked List Cycle
M|Linked List Cycle II
M|Reorder List
E|Binary Tree Preorder Traversal
E|Binary Tree Postorder Traversal
M|LRU Cache
M|Insertion Sort List
M|Sort List
H|Max Points on a Line
M|Evaluate Reverse Polish Notation
M|Reverse Words in a String
M|Maximum Product Subarray
M|Find Minimum in Rotated Sorted Array
H|Find Minimum in Rotated Sorted Array II
M|Min Stack
M|Binary Tree Upside Down
E|Read N Characters Given Read4
H|Read N Characters Given read4 II - Call Multiple Times
M|Longest Substring with At Most Two Distinct Characters
E|Intersection of Two Linked Lists
M|One Edit Distance
M|Find Peak Element
E|Missing Ranges
M|Maximum Gap
M|Compare Version Numbers
M|Fraction to Recurring Decimal
M|Two Sum II - Input Array Is Sorted
E|Excel Sheet Column Title
E|Majority Element
E|Two Sum III - Data structure design
E|Excel Sheet Column Number
M|Factorial Trailing Zeroes
M|Binary Search Tree Iterator
H|Dungeon Game
E|Combine Two Tables
M|Second Highest Salary
M|Nth Highest Salary
M|Rank Scores
M|Largest Number
M|Consecutive Numbers
E|Employees Earning More Than Their Managers
E|Duplicate Emails
E|Customers Who Never Order
M|Department Highest Salary
H|Department Top Three Salaries
M|Reverse Words in a String II
M|Repeated DNA Sequences
H|Best Time to Buy and Sell Stock IV
M|Rotate Array
E|Reverse Bits
E|Number of 1 Bits
M|Word Frequency
E|Valid Phone Numbers
M|Transpose File
E|Tenth Line
E|Delete Duplicate Emails
E|Rising Temperature
M|House Robber
M|Binary Tree Right Side View
M|Number of Islands
M|Bitwise AND of Numbers Range
E|Happy Number
E|Remove Linked List Elements
M|Count Primes
E|Isomorphic Strings
E|Reverse Linked List
M|Course Schedule
M|Implement Trie (Prefix Tree)
M|Minimum Size Subarray Sum
M|Course Schedule II
M|Design Add and Search Words Data Structure
H|Word Search II
M|House Robber II
H|Shortest Palindrome
M|Kth Largest Element in an Array
M|Combination Sum III
E|Contains Duplicate
H|The Skyline Problem
E|Contains Duplicate II
H|Contains Duplicate III
